id;tabla;fuente;duplicado_en_b;precio;area;precio_m2;lat;lon;manzana;barrio;localidad;codigo_predial;estrato;estrato_num;avaluo;anio;habitaciones;banios;plantas;piso;anio_construccion;uso;condicion_predio;clase_unidad_principal;origen_predio;origen_caract;origen_atributos;npn_remapeado;area_es_suma_pisos;area_confiable;es_vis;precio_valido;area_valida;vivienda_sin_ambientes;vivienda_en_sotano;precio_m2_en_rango;apto_modelo
B:18545;B;observatorio;False;380000000,0;144,0;2638888,888888889;10,983403242041184;-74,79305720157997;"=""08001010100000081""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000000810006000000000""";Medio_Bajo_3;3;259913000,0;2019;2,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18546;B;observatorio;False;118000000,0;33,0;3575757,5757575757;10,98272049553739;-74,7920021496685;"=""08001010100000075"""; ; ;"=""080010101000000750007900000000""";Medio_Bajo_3;3;0,0;2019;2,0;2,0;1,0;3,0;1996,0;;PH_Unidad_Predial;vivienda;terreno_ladm;edificio;;False;;False;False;True;True;False;False;True;True
B:18547;B;observatorio;False;100000000,0;73,0;1369863,01369863;10,982196468922382;-74,79350808813106;"=""08001010100000080""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000000800035000000000""";Medio_4;4;84230000,0;2019;2,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18548;B;observatorio;False;300000000,0;16,0;18750000,0;10,982120435002452;-74,79497812907312;"=""08001010100000089""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000000890005000000000""";No_Aplica;;320443000,0;2019;4,0;2,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18549;B;observatorio;False;230000000,0;156,0;1474358,9743589743;10,981575762807548;-74,79214409737328;"=""08001010100000073""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000000730021000000000""";Medio_Bajo_3;3;140318000,0;2019;4,0;2,0;1,0;1,0;2010,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18550;B;observatorio;False;220000000,0;92,0;2391304,347826087;10,98457360843134;-74,79527780960132;"=""08001010100000109""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000001090007901030004""";Medio_4;4;129532000,0;2019;3,0;2,0;1,0;3,0;2016,0;Residencial_Apartamentos_4_y_mas_pisos_en_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18551;B;observatorio;False;200000000,0;86,0;2325581,395348837;10,985722917335465;-74,80130214577176;"=""08001010100000167""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000001670024000000000""";Medio_4;4;79406000,0;2019;3,0;2,0;2,0;1,0;1987,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18552;B;observatorio;False;330000000,0;119,0;2773109,243697479;10,987508080334157;-74,80090200452473;"=""08001010100000169""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000001690004901010002""";Medio_4;4;173614000,0;2019;3,0;2,0;1,0;1,0;2016,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18553;B;observatorio;False;220000000,0;148,0;1486486,4864864864;10,980498119568017;-74,78439935371371;"=""08001010200000125""";EL ROSARIO;NORTE - CENTRO HISTORICO;"=""080010102000001250013000000000""";No_Aplica;;209226000,0;2019;0,0;1,0;1,0;1,0;1986,0;Comercial_Comercio;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18554;B;observatorio;False;140000000,0;86,0;1627906,9767441861;10,981033342744434;-74,79889010212129;"=""08001010400000093""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010104000000930027901020002""";Medio_4;4;68545000,0;2019;2,0;1,0;2,0;2,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;True;False;True;False;True;True;False;False;True;True
B:18555;B;observatorio;False;250000000,0;184,0;1358695,652173913;10,980609340482308;-74,79051822406026;"=""08001010500000684""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010105000006840027000000000""";No_Aplica;;120148000,0;2019;0,0;1,0;2,0;1,0;2006,0;Comercial_Comercio;NPH;otro_uso;unidad_2022;unidad;;False;True;True;False;True;True;False;False;True;True
B:18556;B;observatorio;False;220000000,0;80,0;2750000,0;10,983154247857668;-74,7931504153057;"=""08001010100000081""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000000810004901080002""";Medio_Bajo_3;3;142471000,0;2019;3,0;2,0;1,0;8,0;2010,0;Residencial_Apartamentos_4_y_mas_pisos_en_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18562;B;observatorio;False;290000000,0;186,0;1559139,7849462365;10,98498242792811;-74,80397297430981;"=""08001010100000187""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000001870018000000000""";Medio_4;4;261821000,0;2019;4,0;2,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18563;B;observatorio;False;209000000,0;184,0;1135869,5652173914;10,984769238919194;-74,80300132214514;"=""08001010100000172""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010101000001720008000000000""";Medio_4;4;216451000,0;2019;4,0;1,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18564;B;observatorio;False;370000000,0;127,0;2913385,8267716537;10,98303682758454;-74,8032348436951;"=""08001010400000238""";EL RECREO;NORTE - CENTRO HISTORICO;"=""080010104000002380012000000000""";No_Aplica;;137505000,0;2019;3,0;2,0;1,0;1,0;1986,0;Comercial_Comercio;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
